Application,ProcessID,SwapChainAddress,Runtime,SyncInterval,AllowsTearing,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsUntilRenderComplete,MsUntilDisplayed
,520,0x0000023DC385D420,DXGI,1,0,0,Hardware: Legacy Flip,0,0.322512,13.780,16.660,0.060,1.865,18.207
,520,0x0000023DCA2DD8C0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.329306,6.949,13.882,0.149,11.486,13.364
,520,0x0000023DC385D420,DXGI,1,0,0,Hardware: Legacy Flip,0,0.329467,6.955,16.668,0.080,11.725,27.919
,520,0x0000023DCA2DD8C0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.343317,14.011,20.838,0.270,14.170,20.191
,520,0x0000023DCA6F4F40,DXGI,1,0,0,Hardware: Legacy Flip,0,0.343695,21.119,33.337,0.051,14.036,28.579
,520,0x0000023DC385D420,DXGI,1,0,0,Hardware: Legacy Flip,0,0.343605,14.138,16.662,0.085,14.101,30.443
,520,0x0000023DCA2DD8C0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.364014,20.697,13.885,0.181,10.117,13.379
,520,0x0000023DCA6F4F40,DXGI,1,0,0,Hardware: Legacy Flip,0,0.364292,20.597,16.690,0.050,10.074,24.672
,520,0x0000023DC385D420,DXGI,1,0,0,Hardware: Legacy Flip,0,0.364210,20.605,16.681,0.078,10.136,26.519
,520,0x0000023DCA2DD8C0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.377956,13.942,13.888,0.175,12.855,13.326
,520,0x0000023DCA6F4F40,DXGI,1,0,0,Hardware: Legacy Flip,0,0.378209,13.917,16.645,0.058,12.835,27.400
,520,0x0000023DC385D420,DXGI,1,0,0,Hardware: Legacy Flip,0,0.378138,13.928,16.660,0.067,12.879,29.252
,520,0x0000023DCA2DD8C0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.391789,13.833,20.852,0.147,15.678,20.345
,520,0x0000023DCA6F4F40,DXGI,1,0,0,Hardware: Legacy Flip,0,0.391995,13.786,16.675,0.046,15.632,30.289
,520,0x0000023DC385D420,DXGI,1,0,0,Hardware: Legacy Flip,0,0.391941,13.803,16.657,0.051,15.659,32.106
,520,0x0000023DCA2DD8C0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.412568,20.778,13.867,0.156,9.783,13.433
,520,0x0000023DCA2DD8C0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.426329,13.761,6.953,0.138,0.158,6.625
devenv.exe,15592,0x000000001ED69120,D3D9,-1,0,0,Composed: Copy with GPU GDI,0,0.502464,309.105,312.476,0.208,0.201,13.820
,520,0x0000023DCA2DD8C0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.509628,83.299,83.330,0.141,0.152,6.657
,520,0x0000023DCA2DD8C0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.530444,20.816,20.837,0.150,0.152,6.678
devenv.exe,15592,0x000000001ED69120,D3D9,-1,0,0,Composed: Copy with GPU GDI,0,0.604878,102.414,97.242,0.224,0.200,8.649
,520,0x0000023DCA2DD8C0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.606903,76.459,76.405,0.209,0.198,6.624
,520,0x0000023DCA2DD8C0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.613846,6.944,6.931,0.152,0.161,6.611
,520,0x0000023DCA2DD8C0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.627758,13.912,13.913,0.141,0.163,6.612
,520,0x0000023DCA2DD8C0,DXGI,1,0,2,Hardware: Legacy Flip,0,0.641525,13.767,13.900,0.137,0.166,6.746
,520,0x0000023DCA2DD8C0,DXGI,1,0,2,Hardware: Legacy Flip,0,0.676156,34.631,34.684,0.115,0.150,6.799
,520,0x0000023DCA2DD8C0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.731916,55.760,55.574,0.169,0.165,6.613
,520,0x0000023DCA2DD8C0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.745983,14.067,13.892,0.150,0.172,6.438
,520,0x0000023DCA6F4F40,DXGI,1,0,0,Hardware: Legacy Flip,0,0.746280,354.284,333.357,0.084,0.065,9.361
,520,0x0000023DC385D420,DXGI,1,0,0,Hardware: Legacy Flip,0,0.746177,354.236,333.342,0.092,0.067,11.212
devenv.exe,15592,0x000000001ED69120,D3D9,-1,0,0,Composed: Copy with GPU GDI,0,0.794221,189.342,194.446,0.345,0.333,13.753
,520,0x0000023DCA2DD8C0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.801540,55.557,55.552,0.231,0.235,6.433
,520,0x0000023DCA2DD8C0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.808432,6.892,6.949,0.243,0.185,6.489
